id,coord,weather,base,clouds,sys,areaid,name,cod,rain,visibility,dt,wind_degree,wind_speed,temp_max,temp_min,humidity,pressure,temp
ObjectId(571d9e2dd9125d030a585005),"{""lon"":21.01,""lat"":52.23}","[{""id"":800,""main"":""Clear"",""description"":""clear sky"",""icon"":""01d""}]",cmc stations,"{""all"":0}","{""type"":1,""id"":5374,""message"":0.0139,""country"":""PL"",""sunrise"":1461554192,""sunset"":1461606735}",756135,Warsaw,200,,,2014,290,1.5,278.71,273.15,80,1006,275.72
ObjectId(571d9e2dd9125d030a585006),"{""lon"":21.01,""lat"":52.23}","[{""id"":800,""main"":""Clear"",""description"":""clear sky"",""icon"":""01d""}]",cmc stations,"{""all"":0}","{""type"":1,""id"":5374,""message"":0.0139,""country"":""PL"",""sunrise"":1461554192,""sunset"":1461606735}",756135,Warsaw,200,,,2014,290,1.5,278.71,273.15,80,1006,275.72
ObjectId(571d9e2ed9125d030a585007),"{""lon"":21.01,""lat"":52.23}","[{""id"":800,""main"":""Clear"",""description"":""clear sky"",""icon"":""01d""}]",cmc stations,"{""all"":0}","{""type"":1,""id"":5374,""message"":0.0139,""country"":""PL"",""sunrise"":1461554192,""sunset"":1461606735}",756135,Warsaw,200,,,2014,290,1.5,278.71,273.15,80,1006,275.72
ObjectId(571d9e2fd9125d030a585008),"{""lon"":1.97,""lat"":49.1}","[{""id"":500,""main"":""Rain"",""description"":""light rain"",""icon"":""10n""}]",cmc stations,"{""all"":92}","{""type"":3,""id"":5610,""message"":0.0034,""country"":""FR"",""sunrise"":1461559247,""sunset"":1461610809}",2971316,Us,200,"{""3h"":0.69}",,2014,230,2.6,277.59,277.04,86,1017,277.15
ObjectId(571d9e2fd9125d030a585009),"{""lon"":21.01,""lat"":52.23}","[{""id"":800,""main"":""Clear"",""description"":""clear sky"",""icon"":""01d""}]",cmc stations,"{""all"":0}","{""type"":1,""id"":5374,""message"":0.0139,""country"":""PL"",""sunrise"":1461554192,""sunset"":1461606735}",756135,Warsaw,200,,,2014,290,1.5,278.71,273.15,80,1006,275.72
ObjectId(571d9e30d9125d030a58500a),"{""lon"":21.01,""lat"":52.23}","[{""id"":800,""main"":""Clear"",""description"":""clear sky"",""icon"":""01d""}]",cmc stations,"{""all"":0}","{""type"":1,""id"":5374,""message"":0.0139,""country"":""PL"",""sunrise"":1461554192,""sunset"":1461606735}",756135,Warsaw,200,,,2014,290,1.5,278.71,273.15,80,1006,275.72
ObjectId(571d9e32d9125d030a58500b),"{""lon"":21.01,""lat"":52.23}","[{""id"":800,""main"":""Clear"",""description"":""clear sky"",""icon"":""01d""}]",cmc stations,"{""all"":0}","{""type"":1,""id"":5374,""message"":0.0139,""country"":""PL"",""sunrise"":1461554192,""sunset"":1461606735}",756135,Warsaw,200,,,2014,290,1.5,278.71,273.15,80,1006,275.72
ObjectId(571d9e36d9125d030a58500c),"{""lon"":21.01,""lat"":52.23}","[{""id"":800,""main"":""Clear"",""description"":""clear sky"",""icon"":""01d""}]",cmc stations,"{""all"":0}","{""type"":1,""id"":5374,""message"":0.0139,""country"":""PL"",""sunrise"":1461554192,""sunset"":1461606735}",756135,Warsaw,200,,,2014,290,1.5,278.71,273.15,80,1006,275.72
ObjectId(571d9e37d9125d030a58500d),"{""lon"":21.01,""lat"":52.23}","[{""id"":800,""main"":""Clear"",""description"":""clear sky"",""icon"":""01d""}]",cmc stations,"{""all"":0}","{""type"":1,""id"":5374,""message"":0.0139,""country"":""PL"",""sunrise"":1461554192,""sunset"":1461606735}",756135,Warsaw,200,,,2014,290,1.5,278.71,273.15,80,1006,275.72
ObjectId(571d9e38d9125d030a58500e),"{""lon"":12.83,""lat"":42.11}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":3,""id"":5848,""message"":0.0035,""country"":""IT"",""sunrise"":1461557531,""sunset"":1461607297}",3172925,Monte Flavio,200,"{""1h"":1.86}",,2014,320,5.1,283.15,280.37,93,1000,282.16
ObjectId(571d9e3ad9125d030a58500f),"{""lon"":12.72,""lat"":41.99}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":1,""id"":5848,""message"":0.0032,""country"":""IT"",""sunrise"":1461557571,""sunset"":1461607310}",6534228,Guidonia Montecelio,200,"{""1h"":2.41}",,2014,320,5.1,283.15,280.37,93,1000,282.28
ObjectId(571d9e3cd9125d030a585010),"{""lon"":12.72,""lat"":41.99}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":1,""id"":5848,""message"":0.0032,""country"":""IT"",""sunrise"":1461557571,""sunset"":1461607310}",6534228,Guidonia Montecelio,200,"{""1h"":2.41}",,2014,320,5.1,283.15,280.37,93,1000,282.28
ObjectId(571d9e40d9125d030a585011),"{""lon"":12.64,""lat"":42.03}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":1,""id"":5848,""message"":0.0099,""country"":""IT"",""sunrise"":1461557586,""sunset"":1461607334}",3173582,Mentana,200,"{""1h"":2.41}",,2014,320,5.1,283.15,280.37,93,1000,282.28
ObjectId(571d9e43d9125d030a585012),"{""lon"":1.97,""lat"":49.1}","[{""id"":500,""main"":""Rain"",""description"":""light rain"",""icon"":""10n""}]",cmc stations,"{""all"":92}","{""type"":3,""id"":5610,""message"":0.0034,""country"":""FR"",""sunrise"":1461559247,""sunset"":1461610809}",2971316,Us,200,"{""3h"":0.69}",,2014,230,2.6,277.59,277.04,86,1017,277.15
ObjectId(571d9e44d9125d030a585013),"{""lon"":12.62,""lat"":42.05}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":1,""id"":5848,""message"":0.0043,""country"":""IT"",""sunrise"":1461557588,""sunset"":1461607341}",3172768,Monterotondo,200,"{""1h"":2.41}",,2014,320,5.1,283.15,280.37,93,1000,282.28
ObjectId(571d9e46d9125d030a585014),"{""lon"":1.97,""lat"":49.1}","[{""id"":500,""main"":""Rain"",""description"":""light rain"",""icon"":""10n""}]",cmc stations,"{""all"":92}","{""type"":3,""id"":5610,""message"":0.0034,""country"":""FR"",""sunrise"":1461559247,""sunset"":1461610809}",2971316,Us,200,"{""3h"":0.69}",,2014,230,2.6,277.59,277.04,86,1017,277.15
ObjectId(571d9e46d9125d030a585015),"{""lon"":21.01,""lat"":52.23}","[{""id"":800,""main"":""Clear"",""description"":""clear sky"",""icon"":""01d""}]",cmc stations,"{""all"":0}","{""type"":1,""id"":5374,""message"":0.0139,""country"":""PL"",""sunrise"":1461554192,""sunset"":1461606735}",756135,Warsaw,200,,,2014,290,1.5,278.71,273.15,80,1006,275.72
ObjectId(571d9e47d9125d030a585016),"{""lon"":12.77,""lat"":42.07}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":3,""id"":5848,""message"":0.006,""country"":""IT"",""sunrise"":1461557550,""sunset"":1461607307}",3171558,Palombara Sabina,200,"{""1h"":2.41}",,2014,320,5.1,283.15,278.15,93,1000,281.51
ObjectId(571d9e47d9125d030a585017),"{""lon"":12.8,""lat"":41.96}","[{""id"":501,""main"":""Rain"",""description"":""moderate rain"",""icon"":""10d""}]",cmc stations,"{""all"":75}","{""type"":1,""id"":5848,""message"":0.0043,""country"":""IT"",""sunrise"":1461557555,""sunset"":1461607288}",3165624,Tivoli,200,"{""1h"":2.41}",,2014,320,5.1,283.15,280.37,93,1000,282.28
ObjectId(571d9e48d9125d030a585018),"{""lon"":21.01,""lat"":52.23}","[{""id"":800,""main"":""Clear"",""description"":""clear sky"",""icon"":""01d""}]",cmc stations,"{""all"":0}","{""type"":1,""id"":5374,""message"":0.0139,""country"":""PL"",""sunrise"":1461554192,""sunset"":1461606735}",756135,Warsaw,200,,,2014,290,1.5,278.71,273.15,80,1006,275.72
